checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.038860917551637,0.2748552123552124,1.1235204497819702
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,3.2408803826853507,0.1759667156142927,1.0246891240191354
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,3.171069149969873,0.2013806236610331,1.1913201151164308
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.26021369654848,0.20236127508854782,1.1833669290914164
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,2.8471366949670704,0.21916771752837327,0.9510277501571675
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.2053259590639347,0.21073699081704733,1.19043306431996
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.2841517339142703,0.1829480487198608,1.2025625331763927
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.1752141915756322,0.19509873899595526,1.0711788147539008
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.1574650123772936,0.20366795366795368,1.1284197297335592
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,2.953994483966426,0.22662750856583455,0.9744355177914343
