checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
4,,anchor_C_1,frozen,full,frozen/full,3.0207370503102093,0.20832282471626734,0.950291196094335,3965
4,,anchor_B_prime_1,frozen,full,frozen/full,3.039475191501216,0.25076524605603956,1.1453749133694557,4247
4,,anchor_A_2,frozen,full,frozen/full,3.3589047311758655,0.22719363658960975,1.2583002284365508,4023
4,,anchor_X_transient,frozen,full,frozen/full,3.312898732525038,0.21484653818700927,1.1596202192322402,4203
4,,anchor_A_merge,frozen,full,frozen/full,3.2508873479246634,0.24879343629343628,1.1955524844092291,4144
4,,anchor_E_1,frozen,full,frozen/full,3.298346617965213,0.15638766519823788,1.0562947969254592,4086
4,4,task_04_test,fast_adapt,full,fast_adapt/full,2.9108449060331205,0.2660049627791563,1.0781185453050486,2015
4,5,task_05_test_pre,fast_adapt,full,fast_adapt/full,3.2956219934534143,0.25925925925925924,1.2442427797670716,2025
4,,anchor_A_1,fast_adapt,full,fast_adapt/full,3.258899980203165,0.27755296358009995,1.2635180358232927,4201
4,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.0897489113115224,0.25430932703659975,1.1365706244494587,4235
4,,anchor_C_1,fast_adapt,full,fast_adapt/full,3.0198542398883297,0.21084489281210592,0.9502395668366518,3965
4,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.0395048090730636,0.2502943254061691,1.1453699821973369,4247
4,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.358378928779756,0.22793934874471788,1.2581586413439192,4023
4,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.31221506398773,0.2146086128955508,1.1594434815760088,4203
4,,anchor_A_merge,fast_adapt,full,fast_adapt/full,3.2503222461832997,0.24806949806949807,1.1953824413329017,4144
4,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.297611130141652,0.15687714145863926,1.0561769217529895,4086
4,4,task_04_test,online_write,full,online_write/full,2.9108447466369154,0.2660049627791563,1.1332551167600744,2015
4,5,task_05_test_pre,online_write,full,online_write/full,3.2956130195105517,0.25876543209876546,1.3419300627956787,2025
4,,anchor_A_1,online_write,full,online_write/full,3.2589077046444745,0.27755296358009995,1.3701252692993806,4201
4,,anchor_B_1,online_write,full,online_write/full,3.0897592192904972,0.25430932703659975,1.2233399501584972,4235
4,,anchor_C_1,online_write,full,online_write/full,3.019858459315602,0.21084489281210592,1.0221780752023262,3965
4,,anchor_B_prime_1,online_write,full,online_write/full,3.0395139941543494,0.2502943254061691,1.2191119095854845,4247
4,,anchor_A_2,online_write,full,online_write/full,3.3583819927222214,0.22793934874471788,1.3667702432619993,4023
4,,anchor_X_transient,online_write,full,online_write/full,3.312221259169428,0.2146086128955508,1.2561987259052074,4203
4,,anchor_A_merge,online_write,full,online_write/full,3.2503249443938027,0.24806949806949807,1.2908079278184295,4144
4,,anchor_E_1,online_write,full,online_write/full,3.2976129474560536,0.15687714145863926,1.1445143764471153,4086
