checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.167966618396855,0.27293064876957496,1.19220715910826
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.110224213510532,0.25933856768974545,1.096696695259234
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.0426844814109066,0.28547297297297297,1.1232819511163188
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.2670347687081267,0.15981399902104748,1.0294756891677266
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.0250423879062693,0.30183289692930254,1.175316476674342
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.478645376950819,0.09279811097992917,1.2196251122700985
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.767293137770433,0.2849936948297604,0.9442229363536474
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.418625109667831,0.10383800329644455,1.2322532877462848
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.1448500858679536,0.28635346756152125,1.1818278926893933
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.1006816144276597,0.25933856768974545,1.088592464856355
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.01749172726193,0.29464285714285715,1.1141699244156769
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.273977633498197,0.15810083210964268,1.0185972891540078
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.4102852977306837,0.08164722685074982,1.1844294383905525
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.178417894888093,0.248642266824085,1.1637446334820851
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,3.085268851396866,0.08499369482976041,0.923334651817139
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.1280964347708218,0.25429715093006827,1.1745295806410512
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.4819196321286876,0.08401690280884912,1.1953561428675983
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.3440162609680306,0.10801808232215085,1.0674827833445675
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.3911839672957607,0.08735521235521236,1.123414220036687
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,2.870250188423265,0.3392070484581498,0.9723798851726455
