anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
49,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,79,4,0.6321432667973014,1.9945801472962095,2.366920096018497,0.15258101653161008,0.7919205688675393,0.5800852973336786,0.5326887864923243,0.6852324545044014,0.3160444512723811,,B_prime_1,frozen/full
50,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,65,4,0.6007249328891443,1.9838456120640067,1.9773920910054696,0.27483091274916377,0.6827664290900654,0.5421736345528726,0.48523047517910717,0.6686841764976459,0.2856615432499426,,B_prime_1,frozen/full
51,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,77,4,0.5893933965030401,2.7120384733681298,2.969395391652793,0.282029759303691,0.7257738244641952,0.5044853227184218,0.4616813119394679,0.6690443016945375,0.31821042852423204,,B_prime_1,frozen/full
52,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,50,4,0.6244913094785552,5.60049167203542,3.9915873039618543,0.5325598796801942,0.639840418001918,0.5013025011505551,0.5489770838165307,0.7466733470454294,0.20498855363278176,,B_prime_1,frozen/full
53,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,70,4,0.6081409559253372,4.635128062044892,4.86139259122657,0.2880076724784023,1.2642827620201165,0.5010867749879959,0.4750117134269643,0.6448926239032826,0.29866433310280843,,B_prime_1,frozen/full
54,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,51,4,0.577757598018234,1.3317622102676498,1.418553004900847,0.1850367471047257,0.48429146345381924,0.5742010102549007,0.44897972229552546,0.6656931242932241,0.19354351452767848,,B_prime_1,frozen/full
55,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,72,4,0.5980215228367121,1.5752796494486547,2.057654947247221,0.24772205321413437,0.8323954540087803,0.5078071025968199,0.45340351344732527,0.6011929339952737,0.23464450824784266,,B_prime_1,frozen/full
56,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,49,4,0.613544900743661,2.687900269414669,2.942969999332626,0.20324640927134027,0.45353357890102186,0.5669349684510387,0.46517142534037026,0.6495145437625222,0.3196593234197732,,B_prime_1,frozen/full
57,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,52,4,0.5875637897863585,2.0298356451758246,1.9255184197861295,0.2621597641980811,0.8534286467921026,0.44856139334206524,0.47172653017391625,0.5538865110233949,0.1878311231602865,,B_prime_1,frozen/full
58,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,73,4,0.5748493497435964,3.319282311924229,4.314415353779115,0.3222112084494106,0.8491204658400358,0.5311100011710465,0.4270551396992951,0.6376691393989719,0.4328442266457555,,B_prime_1,frozen/full
59,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,7,seen_law,60,4,0.6256012263211199,6.3437841679413784,5.102835506434496,0.2651740465093557,1.5597485834937108,0.5120476562290831,0.5543296088846348,0.70016723176357,0.348547185346333,,B_prime_1,frozen/full
